Key,Value,Origin
бумеранг,"— (язык даруг) bumariny, через англ. boomerang",Из аборигенов Австралии
валлаби,"— (язык даруг) wolabā, через англ. wallaby",Из аборигенов Австралии
вомбат,"— (язык даруг) wambad (wambaj), через англ.",Из аборигенов Австралии
динго,"— (язык даруг) dingu, через англ.",Из аборигенов Австралии
кава,— опьяняющий напиток (не кофе!),Из аборигенов Австралии
Канберра,— (язык нгунавал) kamberra «место встречи»,Из аборигенов Австралии
кенгуру,"— (язык гууду-йимидхирр) gangurru, через англ. kangaroo",Из аборигенов Австралии
коала,"— (язык даруг) gula или gulawany («не пьёт»), через англ. koala",Из аборигенов Австралии
корелла,"— (языу вирадхури) korella, через англ. corella",Из аборигенов Австралии
кукабарра,"— (язык вираджури) guuguubarra, звукоподраж.",Из аборигенов Австралии
кускус,— млекопитающее (не каша!),Из аборигенов Австралии
аджика,— аџьыка ‎(āǯ̍əḳā),Из абхазского
косовар,,Из албанского
автокар,— autocar: др.-греч. αὐτός «сам» + англ. car «тележка»,Из английского
автоспорт,— autosport: др.-греч. αὐτός «сам» + англ. sport « спорт »,Из английского
адаптер,"— adapter, от adapt «приспосабливаться»",Из английского
айпод,— iPod: i- «в» + pod «стручок»,Из английского
алло,"— hello «привет», от франц. allô",Из английского
апперкот,— uppercut: upper «верхний» + cut «вырез»,Из английского
армрестлинг,— armwrestling: arm «рука» + wrestling «борьба»,Из английского
аутсайдер,— outsider: out «вне» + side «сторона»,Из английского
аутсорсинг,"— outsourcing: out «вне» + source «черпать, получать» (передача части неосновных операций сторонней организации)",Из английского
бадминтон,"— badminton, из собств. Badminton «Бадминтон», из др.-англ. Badimyncgtun (топоним), от личн. Baduhelm",Из английского
бай-бай,"— bye-bye, от bye, goodbye «пока, до свиданья»",Из английского
байт,"— byte, от искаж. англ. bite «укус, кусок (еды)»",Из английского
бакс,"— bucks «доллары США», сокращ. от buckskin «оленья шкура» или от имени Бака (Бенджамина) Франклина, изображенного на 100 долларовой купюре",Из английского
бампер,"— bumper, от bump «ударять»",Из английского
баннер,"— banner «флаг», от ст.-франц. baniere, из индоевроп. *bʰendʰ- «связывать»",Из английского
бар,"— bar «стойка», из франц. barre «ьер»",Из английского
баржа,"— barge, из лат. barca, от др.-греч. βάρισ «египетская лодка» из древнеегипет. br, bjr",Из английского
бармен,— barman: bar «бар» + man «человек»,Из английского
бартер,"— barter, из ст.-франц. barater «обманывать»",Из английского
баскетбол,— basketball: basket «корзина» + ball «мяч»,Из английского
бейсбол,— baseball: base «база» + ball «мяч»,Из английского
бекон,— bacon «мясо со спины и боков свиньи»,Из английского
бестселлер,— bestseller: best «лучше» + sell «продаваться»,Из английского
бизнес,"— business, от слова busy «занятый», от др.-англ. bisig «озабоченный, занятый»",Из английского
бизнесмен,— businessman: business «дело» + man «человек»,Из английского
билборд,"— billboard: bill «счёт, билет» +‎ board «доска»",Из английского
биллинг,"— billing, от bill «счёт, билет», из англо-франц. bille «список», из лат. bulla «пузырь; шарик, пуговка»",Из английского
бит,"— bit, сокр. bi nary «двоичная» + digi t «цифра»",Из английского
бифштекс,— beefsteaks: beef «говядина» +‎ steak «стейк»,Из английского
блендер,"— blender, от blend «смесь»",Из английского
блеф,"— bluff «обман», от нидерл. bluffen «хвастать»",Из английского
блог,"— blog, сокр. от we b «сеть» + log «журнал»",Из английского
блогер,"— blogger, от блог",Из английского
блокбастер,"— blockbuster: block «блок, глыба» + buster «кутёж»",Из английского
блюз,"— blues «меланхолия, хандра»",Из английского
бобслей,"— bobsleigh, от bobsled: bob «отвес» + sled «сани»",Из английского
бой,— boy «мальчик»,Из английского
бойкот,"— boycott, из ирландского",Из английского
бойфренд,— boyfriend: boy «мальчик» + friend «друг»,Из английского
бокс,"— boxing, от ср.-англ. boxen «ударять» и box «удар кулаком»",Из английского
босс,"— boss, от ст.-франц. boce «шишка», от франкск. *bottja",Из английского
бостон,"— Boston «Бостон», от Botolph town",Из английского
браузер,"— browser «посетитель, разглядывающий товары», от browse «ощипывать листья», из ср.-франц. brouster «объедать, ощипывать листья, траву»",Из английского
бренд,"— brand «клеймо, марка»",Из английского
бриг,"— brig, из brigantine, из итал. brigantino «шхуна», из brigante «пират», из brigare «добиваться»",Из английского
бриджи,"— breeches, от др.-англ. brec «одежда ног»",Из английского
бриз,"— breeze «ветерок», от ст.-англ. brēosa «овод», из прагерман. *bremusī ‎",Из английского
брифинг,"— briefing, от англ. brief «краткий»",Из английского
брокер,"— broker, из др.-англ. brocour «(мелкий) торговец (вином)», из англофранц. abrokur «торговец вином»",Из английского
буклет,— booklet: book «книга» +‎ -let уменьшит.,Из английского
бульдог,"— bulldog, от bullbaiting «травля быка» + dog «собака»",Из английского
бульдозер,"— bulldozer, от bulldoze «принуждать, грозить насилием»",Из английского
бум,"— boom «гул, рокот», звукоподраж.",Из английского
ватман,"— от Whatman paper, в честь James Whatman (1702–1759), английского изготовителя бумаги",Из английского
ватт,"— watt, от имени инженера James Watt (1736–1819)",Из английского
вау,"— wow «ух ты», шотл. происхождения",Из английского
ваучер,"— voucher, от vouch «поручиться», из ст.-франц. voucher, из лат. vocāre «говорить»",Из английского
веб,"— web «сеть», от world wide web «всемирная паутина»",Из английского
видео,"— video, из лат. videō «я вижу»",Из английского
вилла,"— villa, из итал. villa, из лат. villa «сельский дом»",Из английского
